,city,month,pm25 max
42,Arden-Arcade,2020-07-01,64.0
41,Arden-Arcade,2020-06-01,14.9
47,Arden-Arcade,2020-12-01,32.5
46,Arden-Arcade,2020-11-01,39.1
44,Arden-Arcade,2020-09-01,147.3
43,Arden-Arcade,2020-08-01,86.0
45,Arden-Arcade,2020-10-01,71.4
37,Arden-Arcade,2020-02-01,27.5
38,Arden-Arcade,2020-03-01,12.5
39,Arden-Arcade,2020-04-01,8.4
40,Arden-Arcade,2020-05-01,9.0
36,Arden-Arcade,2020-01-01,30.2
271,Auburn,2020-08-01,117.041667
275,Auburn,2020-12-01,18.636364
273,Auburn,2020-10-01,61.75
272,Auburn,2020-09-01,146.0
270,Auburn,2020-07-01,10.541667
274,Auburn,2020-11-01,15.916667
268,Auburn,2020-05-01,7.875
269,Auburn,2020-06-01,11.761905
265,Auburn,2020-02-01,18.583333
264,Auburn,2020-01-01,15.75
267,Auburn,2020-04-01,9.73913
266,Auburn,2020-03-01,10.0
301,Carmel Valley Village,2020-02-01,5.791667
309,Carmel Valley Village,2020-10-01,62.833333
308,Carmel Valley Village,2020-09-01,94.458333
307,Carmel Valley Village,2020-08-01,200.347826
306,Carmel Valley Village,2020-07-01,10.565217
305,Carmel Valley Village,2020-06-01,13.666667
304,Carmel Valley Village,2020-05-01,9.695652
303,Carmel Valley Village,2020-04-01,7.625
302,Carmel Valley Village,2020-03-01,8.083333
310,Carmel Valley Village,2020-11-01,7.75
311,Carmel Valley Village,2020-12-01,7.333333
300,Carmel Valley Village,2020-01-01,5.875
67,Concord,2020-08-01,80.916667
66,Concord,2020-07-01,12.875
64,Concord,2020-05-01,8.956522
63,Concord,2020-04-01,10.208333
62,Concord,2020-03-01,11.583333
61,Concord,2020-02-01,17.0
60,Concord,2020-01-01,18.333333
65,Concord,2020-06-01,11.583333
69,Concord,2020-10-01,96.333333
70,Concord,2020-11-01,19.25
71,Concord,2020-12-01,24.291667
68,Concord,2020-09-01,121.4
96,Folsom,2020-01-01,
97,Folsom,2020-02-01,
99,Folsom,2020-04-01,
100,Folsom,2020-05-01,
101,Folsom,2020-06-01,
102,Folsom,2020-07-01,
103,Folsom,2020-08-01,
104,Folsom,2020-09-01,
105,Folsom,2020-10-01,
98,Folsom,2020-03-01,
107,Folsom,2020-12-01,21.541667
106,Folsom,2020-11-01,
191,Gilroy,2020-12-01,20.375
189,Gilroy,2020-10-01,79.75
188,Gilroy,2020-09-01,102.541667
187,Gilroy,2020-08-01,73.416667
186,Gilroy,2020-07-01,27.833333
181,Gilroy,2020-02-01,14.541667
180,Gilroy,2020-01-01,12.625
185,Gilroy,2020-06-01,11.136364
184,Gilroy,2020-05-01,8.521739
183,Gilroy,2020-04-01,7.75
182,Gilroy,2020-03-01,10.166667
190,Gilroy,2020-11-01,15.833333
228,Hollister,2020-01-01,10.458333
231,Hollister,2020-04-01,8.428571
232,Hollister,2020-05-01,7.666667
233,Hollister,2020-06-01,10.458333
234,Hollister,2020-07-01,24.75
235,Hollister,2020-08-01,84.833333
236,Hollister,2020-09-01,89.041667
237,Hollister,2020-10-01,73.958333
238,Hollister,2020-11-01,13.958333
239,Hollister,2020-12-01,13.583333
229,Hollister,2020-02-01,11.208333
230,Hollister,2020-03-01,9.583333
292,King City,2020-05-01,18.666667
296,King City,2020-09-01,81.333333
295,King City,2020-08-01,178.25
294,King City,2020-07-01,23.541667
293,King City,2020-06-01,27.25
291,King City,2020-04-01,5.666667
290,King City,2020-03-01,6.333333
289,King City,2020-02-01,8.25
288,King City,2020-01-01,6.458333
299,King City,2020-12-01,10.291667
297,King City,2020-10-01,54.333333
298,King City,2020-11-01,12.833333
217,Live Oak,2020-02-01,11.0
227,Live Oak,2020-12-01,13.166667
226,Live Oak,2020-11-01,12.458333
225,Live Oak,2020-10-01,53.583333
224,Live Oak,2020-09-01,90.458333
223,Live Oak,2020-08-01,55.375
222,Live Oak,2020-07-01,13.041667
221,Live Oak,2020-06-01,10.666667
220,Live Oak,2020-05-01,9.73913
218,Live Oak,2020-03-01,12.0
216,Live Oak,2020-01-01,9.833333
219,Live Oak,2020-04-01,9.333333
261,Livermore,2020-10-01,95.75
263,Livermore,2020-12-01,26.916667
262,Livermore,2020-11-01,25.458333
252,Livermore,2020-01-01,16.083333
253,Livermore,2020-02-01,14.625
254,Livermore,2020-03-01,11.0
255,Livermore,2020-04-01,10.304348
256,Livermore,2020-05-01,8.333333
257,Livermore,2020-06-01,8.166667
258,Livermore,2020-07-01,13.625
259,Livermore,2020-08-01,99.916667
260,Livermore,2020-09-01,122.041667
133,Manteca,2020-02-01,28.583333
134,Manteca,2020-03-01,18.826087
135,Manteca,2020-04-01,9.291667
136,Manteca,2020-05-01,8.666667
137,Manteca,2020-06-01,11.5
142,Manteca,2020-11-01,38.458333
139,Manteca,2020-08-01,102.0
140,Manteca,2020-09-01,140.041667
141,Manteca,2020-10-01,98.875
143,Manteca,2020-12-01,43.0
138,Manteca,2020-07-01,21.291667
132,Manteca,2020-01-01,33.833333
130,Napa,2020-11-01,17.0
129,Napa,2020-10-01,148.583333
128,Napa,2020-09-01,91.75
127,Napa,2020-08-01,51.291667
126,Napa,2020-07-01,12.666667
125,Napa,2020-06-01,12.875
124,Napa,2020-05-01,8.291667
123,Napa,2020-04-01,9.583333
122,Napa,2020-03-01,11.75
121,Napa,2020-02-01,13.416667
120,Napa,2020-01-01,16.208333
131,Napa,2020-12-01,20.708333
94,Not in a city,2020-11-01,21.916667
93,Not in a city,2020-10-01,60.666667
92,Not in a city,2020-09-01,158.25
91,Not in a city,2020-08-01,387.833333
86,Not in a city,2020-03-01,14.208333
89,Not in a city,2020-06-01,18.043478
88,Not in a city,2020-05-01,15.041667
87,Not in a city,2020-04-01,13.26087
95,Not in a city,2020-12-01,32.041667
90,Not in a city,2020-07-01,15.384615
85,Not in a city,2020-02-01,19.041667
84,Not in a city,2020-01-01,23.181818
173,Oakland,2020-06-01,15.958333
179,Oakland,2020-12-01,35.25
178,Oakland,2020-11-01,27.583333
177,Oakland,2020-10-01,75.791667
176,Oakland,2020-09-01,167.708333
175,Oakland,2020-08-01,46.708333
174,Oakland,2020-07-01,41.125
172,Oakland,2020-05-01,13.625
171,Oakland,2020-04-01,12.869565
170,Oakland,2020-03-01,12.666667
169,Oakland,2020-02-01,19.083333
168,Oakland,2020-01-01,21.75
119,Pleasanton,2020-12-01,23.875
118,Pleasanton,2020-11-01,20.083333
108,Pleasanton,2020-01-01,15.333333
117,Pleasanton,2020-10-01,103.958333
116,Pleasanton,2020-09-01,123.818182
115,Pleasanton,2020-08-01,96.541667
114,Pleasanton,2020-07-01,20.0
113,Pleasanton,2020-06-01,9.5
111,Pleasanton,2020-04-01,12.708333
110,Pleasanton,2020-03-01,12.416667
109,Pleasanton,2020-02-01,16.25
112,Pleasanton,2020-05-01,10.5
193,Redwood City,2020-02-01,17.208333
192,Redwood City,2020-01-01,12.583333
194,Redwood City,2020-03-01,11.708333
196,Redwood City,2020-05-01,10.583333
198,Redwood City,2020-07-01,16.208333
199,Redwood City,2020-08-01,51.625
200,Redwood City,2020-09-01,124.166667
201,Redwood City,2020-10-01,47.041667
202,Redwood City,2020-11-01,21.416667
203,Redwood City,2020-12-01,21.583333
195,Redwood City,2020-04-01,9.608696
197,Redwood City,2020-06-01,11.458333
0,Roseville,2020-01-01,23.0
10,Roseville,2020-11-01,17.9
9,Roseville,2020-10-01,17.5
8,Roseville,2020-09-01,121.3
7,Roseville,2020-08-01,48.7
6,Roseville,2020-07-01,11.7
11,Roseville,2020-12-01,26.583333
4,Roseville,2020-05-01,6.8
3,Roseville,2020-04-01,6.1
2,Roseville,2020-03-01,8.9
1,Roseville,2020-02-01,16.9
5,Roseville,2020-06-01,8.1
33,Sacramento,2020-10-01,76.8
24,Sacramento,2020-01-01,25.4
25,Sacramento,2020-02-01,18.0
26,Sacramento,2020-03-01,12.7
27,Sacramento,2020-04-01,8.3
28,Sacramento,2020-05-01,6.6
29,Sacramento,2020-06-01,56.3
30,Sacramento,2020-07-01,14.7
31,Sacramento,2020-08-01,51.8
32,Sacramento,2020-09-01,121.3
35,Sacramento,2020-12-01,30.791667
34,Sacramento,2020-11-01,26.5
22,Salinas,2020-11-01,9.708333
20,Salinas,2020-09-01,87.083333
19,Salinas,2020-08-01,81.416667
18,Salinas,2020-07-01,24.666667
17,Salinas,2020-06-01,13.0
16,Salinas,2020-05-01,11.208333
15,Salinas,2020-04-01,8.2
14,Salinas,2020-03-01,10.1
13,Salinas,2020-02-01,18.166667
12,Salinas,2020-01-01,10.541667
23,Salinas,2020-12-01,15.2
21,Salinas,2020-10-01,50.458333
146,San Francisco,2020-03-01,13.375
147,San Francisco,2020-04-01,12.958333
148,San Francisco,2020-05-01,15.083333
149,San Francisco,2020-06-01,18.0
150,San Francisco,2020-07-01,23.0
